US Election,GE11,GE12,GE13S,GE13,GE14,GE15
47,,,2449,2449,4354,3148
12,,,1766,1766,24481,752
7928,,,423,423,18140,676
2574,,,9467,9467,7148,401
155,,,7723,7723,17076,194
57,,,3554,3554,16773,79425
4037,,,152,152,4975,21468
929,,,13174,13174,21511,18263
66,,,3186,3186,18223,1793
31,,,1460,1460,4548,138259
1928,,,542,542,45929,23185
361,,,19584,19584,28035,16539
34,,,7998,7998,8173,83311
10,,,3219,3219,18157,32736
3525,,,502,502,14682,23253
1387,,,13085,13085,2983,4052
118,,,9287,9287,18157,2049
36,,,410,410,14682,461
14947,,,14226,14226,2983,142875
3210,,,13138,13138,47671,18256
287,,,13377,13377,24618,13806
84,,,3646,3646,8242,50943
3266,,,1153,1153,21353,48250
1105,,,1130,1130,14691,29060
116,,,25559,25559,19806,829
44,,,4654,4654,11347,279
194273,,,325,325,6215,165
128938,,,21331,21331,20142,113
5540,,,16352,16352,14209,61409
2606,,,633,633,2683,43314
37714,,,553,553,26407,28266
13204,,,23125,23125,11786,2781
956,,,8904,8904,21829,65751
286,,,1313,1313,10412,53969
73942,,,891,891,64535,35079
38866,,,603,603,27310,1474
2105,,,137,137,12098,1015
781,,,132,132,61615,477
15321,,,8551,,36889,265
6895,,,4250,,6278,115539
643,,,1476,,227,23738
168,,,306,,50052,19762
1516,,,15800,,30270,3016
294,,,3855,,55447,1140
20,,,19515,,26523,439
4,,,5118,,4332,271
13681,,,22901,,591,123306
2747,,,12949,,80726,49308
260,,,21966,,35862,22225
82,,,18896,,55312,2063
12238,,,2198,,22564,360
4451,,,15559,,6667,209
274,,,4148,,21132,163
70,,,898,,20299,106
14176,,,14182,,4295,52867
3185,,,7525,,21255,51034
347,,,15793,,20731,18685
105,,,2366,,2962,591
3638,,,8183,,12771,512
880,,,2758,,9747,171
31,,,11015,,26379,56264
19,,,2923,,6894,47315
21014,,,250,,28306,31097
7116,,,9700,,13289,2337
604,,,5448,,1350,319
171,,,6769,,48548,264
4275,,,5159,,12575,194
1308,,,13708,,33060,165
83,,,1999,,18839,64308
25,,,12470,,25070,3227
5258,,,3764,,8078,2795
1332,,,0,,2719,1461
89,,,10588,,18865,528
30,,,10537,,14860,45716
